#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321603455.645525	CzwEw64eWkcRHOGtnh	192.168.71.10	1029	98.124.198.1	80	1	GET	beautifulcoed.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	146	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FVPHUyb6RmKPZoiZ1	text/html
1321603456.164965	CeMeXB1QAiDpO02ym5	192.168.71.10	1030	95.168.165.225	80	1	GET	karaokebutiken.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	239	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FJFk1c3uvwrDq5qHCe	text/html
1321603456.380789	C10dp9311490ug9TKl	192.168.71.10	1031	109.236.85.58	80	1	GET	publicfiles2.in	/?site=11	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1321603456.57928	C2Ua522lm4FGHUVrO	192.168.71.10	1035	109.123.116.51	80	1	GET	googleads3.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgmqs64GgWl6MaWgD1	text/html
1321603456.789201	CLfX2RKX2O67WTsq	192.168.71.10	1043	109.123.116.51	80	1	GET	googleads3.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	FkgaHQ1rpVTYuNGRL7	text/html
1321603457.151753	CGb70L2OwJCJk4JnGk	192.168.71.10	1044	109.236.85.58	80	1	GET	domain5for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	140	200	OK	-	-	-	(empty)	-	-	-	-	-	FPnNSP3WBE4zleIGRh	text/html
1321603458.737413	CFlxSN1V26Uizs0Is4	192.168.71.10	1045	109.236.85.58	80	1	GET	domain5for8.in	/java/vukavuka.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3977	200	OK	-	-	-	(empty)	-	-	-	-	-	F5tMTE4SJZ3ozR0rO4	application/jar
1321603458.953386	CQUEtX2f6eW9gYl7ah	192.168.71.10	1046	109.236.85.58	80	1	GET	domain5for8.in	/java/vukavuka.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3977	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi3UU220HK1zrzUUb6	application/jar
1321603459.204954	CDEE7z1ip5wv6A0z36	192.168.71.10	1047	109.236.85.58	80	1	GET	domain5for8.in	/java/vukavuka.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3977	200	OK	-	-	-	(empty)	-	-	-	-	-	FknkDt3eOg5pV3mQi7	application/jar
1321603459.471234	Cr38LT3i21mzWSyKkf	192.168.71.10	1048	109.236.85.58	80	1	GET	domain5for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FvPT7v4yCaDNdzLVk2	text/html
1321603459.672168	CWMVsBhAAcmIIGqK9	192.168.71.10	1049	109.236.85.58	80	1	GET	domain5for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOpr0e4VBosZSEerKg	text/html
