#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-04-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314494094.588119	CqNOiF3h3IQjzpD1Lh	192.168.73.10	1030	95.168.165.224	80	1	GET	full-onlinepornmovies.biz	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	239	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F7GzsJecL0gJ2zfv	text/html
1314494094.814273	CU5WPYqPikyKAHBmb	192.168.73.10	1031	109.236.82.46	80	1	GET	a.cocosluts.net	/?site=11	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7314	200	OK	-	-	-	(empty)	-	-	-	-	-	F4fWplRLZeqlFfjoa	text/html
1314494096.465538	CFY1TQcCmnubaZkGd	192.168.73.10	1036	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff44Tx3WWcMZ9JSb49	application/jar
1314494096.462721	C4JLXi4ixdlEhtB0g	192.168.73.10	1039	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FbY6nqo3htTSMrwfe	application/x-java-applet
1314494096.463973	CoedqE1xBWpXRBicgk	192.168.73.10	1038	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FwLHoJ3kZOoBxfCFCc	application/x-java-applet
1314494096.460169	CptBCP1IA7uMOHTuRd	192.168.73.10	1037	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FWlcm8nqbHS6XfLr3	application/jar
1314494096.834575	CPSb2c1D8DRbt42PGk	192.168.73.10	1040	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FvNefx2L0W2rQOPuL8	application/jar
1314494096.93707	C3tnhdMnL8KJXx691	192.168.73.10	1041	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FsvlJy1WSIYSW9vMz4	application/x-java-applet
1314494096.94577	CxHwpv4FO1ggR84xa6	192.168.73.10	1042	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FHLGgM2KJunYU1Kh1i	application/x-java-applet
1314494097.165419	C4e6cl4zLMsZanWiY7	192.168.73.10	1044	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc6HghVa7t3YK1hIg	application/jar
1314494096.994961	CVE16s3kl24VEKOYU1	192.168.73.10	1043	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FAZkEF37DFjBrEoDne	application/jar
