#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1318058203.729332	CWDPtD4BHtMQFh0Rt	192.168.54.10	1030	98.124.199.1	80	1	GET	toponenetwork.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	144	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FYmxxeSERrC6R0vQa	text/html
1318058203.854667	CMWR1a4elnEPKCPoI1	192.168.54.10	1031	208.42.232.158	80	1	GET	www.joelcomm.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	309	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCyUh53bNeP9wcfEsa	text/html
1318058204.131735	CJd2mG4vCNSVQ3QwGb	192.168.54.10	1034	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28324&size=95&sizey=62	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FIiNM34XaAD3KHoUxi	text/html
1318058204.13192	CnyeM12mzVaW9pDBBd	192.168.54.10	1035	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28323&size=95&sizey=62	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FFRBgJ2ADrgvevvBRc	text/html
1318058204.178159	C9xZXc2fV1oBxleEcb	192.168.54.10	1036	184.28.191.55	80	1	GET	platform.twitter.com	/widgets.js	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19689	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc14nX16bMF4oI4WGc	text/plain
1318058204.036731	CTSSwh4OG2O63zF4b2	192.168.54.10	1033	208.42.232.158	80	1	GET	joelcomm.com	/styles/style.css	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21757	200	OK	-	-	-	(empty)	-	-	-	-	-	F7ddZH35C0ySw5tOKh	text/html
1318058204.228327	CifPH52wXvOwnAEFTb	192.168.54.10	1038	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28321&size=95&sizey=62	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FIl0XK3XMmBMpR8Mc3	text/html
1318058204.228524	C6bkWP1qKHVkRcqBMc	192.168.54.10	1037	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28322&size=95&sizey=62	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FI7oky3KpMGtqhmjzj	text/html
1318058204.269073	Cm1vYY1l0Gx36ydstd	192.168.54.10	1039	208.42.232.158	80	1	GET	joelcomm.com	/styles/dd-formmailer.css	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3610	200	OK	-	-	-	(empty)	-	-	-	-	-	F60TX94cI021bYOKg8	text/plain
1318058204.315992	CkkJHe20koNKOkJvZa	192.168.54.10	1040	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28320&size=95&sizey=62	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FlRARf3VmIvD79epq4	text/html
1318058204.316256	Cz48KS1zOPpM2ywKUc	192.168.54.10	1041	208.42.232.158	80	1	GET	www.joelcomm.com	/cgi-bin/fimg.cgi?entry_id=28323&size=100	http://joelcomm.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	353	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F4fdWc4yiywXs3FRdg	text/html
