#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-03-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340632534.327793	CWy4JU20F8Htlry96i	192.168.127.10	1030	173.193.106.10	80	1	GET	janmakundali.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F3Bl0ih9yzwIq6ROj	application/octet-stream
1340632534.418839	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	1	GET	www.janmakundali.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1210	200	OK	-	-	-	(empty)	-	-	-	-	-	FAWeVH3Qa7mHqlqCRd	text/html
1340632534.840165	C0OP0e4E5XUG7AdRwb	192.168.127.10	1032	82.165.113.142	80	1	GET	onmouseup.info	/stats.php	http://www.janmakundali.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1340632535.332445	CFoMbjQrwHhRAQIa3	192.168.127.10	1033	178.162.167.136	80	1	GET	178.162.167.136	/68883516.html	http://www.janmakundali.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12229	200	OK	-	-	-	(empty)	-	-	-	-	-	F9zalf3aAAR2T3LYCl	text/html
1340632536.387076	CFoMbjQrwHhRAQIa3	192.168.127.10	1033	178.162.167.136	80	2	GET	178.162.167.136	/98765.pdf	http://178.162.167.136/68883516.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41368	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo2RzK3C2e9UCjrDY	application/pdf
1340632538.208882	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	2	GET	www.janmakundali.org	/Default.aspx	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24980	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm8bDo2NmbmGi4UFNh	text/html
1340632546.456563	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	3	GET	www.janmakundali.org	/Styles.css	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10433	200	OK	-	-	-	(empty)	-	-	-	-	-	FVLCJs4F9aAkBw74Sf	text/plain
1340632546.503339	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	1	GET	www.janmakundali.org	/scripts/AC_RunActiveContent.js	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8321	200	OK	-	-	-	(empty)	-	-	-	-	-	FvvPGl29jkSlkQBDMa	text/plain
1340632546.002321	CFoMbjQrwHhRAQIa3	192.168.127.10	1033	178.162.167.136	80	3	GET	178.162.167.136	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31232	200	OK	-	-	-	(empty)	-	-	-	-	-	FkgUEr3ursQ4FEok8l	application/x-dosexec
1340632548.238494	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	4	GET	www.janmakundali.org	/images/btn_left.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	378	200	OK	-	-	-	(empty)	-	-	-	-	-	FwSzM91E7jKafoojk6	image/jpeg
1340632548.238835	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	2	GET	www.janmakundali.org	/images/btn_right.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	378	200	OK	-	-	-	(empty)	-	-	-	-	-	FIekP61OvZnxC54XKk	image/jpeg
1340632548.427171	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	5	GET	www.janmakundali.org	/images/img_1.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5243	200	OK	-	-	-	(empty)	-	-	-	-	-	FRWQY61itHGBeFjNz4	image/jpeg
1340632548.517195	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	3	GET	www.janmakundali.org	/images/arrow.gif	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	195	200	OK	-	-	-	(empty)	-	-	-	-	-	F1BIYi4Lkr8qQKRDd	image/gif
1340632548.547568	CuNgLf1KegxlbcFtE9	192.168.127.10	1031	174.122.46.132	80	6	GET	www.janmakundali.org	/images/headder.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46581	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhjqha2lTfZKbNwG7h	image/jpeg
1340632548.651686	CIHBZ21It2Af4Vp981	192.168.127.10	1038	174.122.46.132	80	4	GET	www.janmakundali.org	/images/btn_middle.jpg	http://www.janmakundali.org/Default.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	357	200	OK	-	-	-	(empty)	-	-	-	-	-	FhsN5w2zgyEVayCazj	image/jpeg
