#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329035628.087007	Czjcdh4Py3t5wRg26h	192.168.77.10	1030	146.185.18.50	80	1	GET	scarlett-ohara.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1329035628.392404	CAUjSY2ZU0qD4eP2w8	192.168.77.10	1031	95.168.173.235	80	1	GET	abonny.info	/?c0431757c0d28dee47f4a746d85e0e95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	291	200	OK	-	-	-	(empty)	-	-	-	-	-	FY2oYa28PtKwcXrdEc	text/html
1329035630.212743	COJXhy2P9hExgApdj	192.168.77.10	1032	95.168.173.235	80	1	GET	abonny.info	/?992dd26b648830ae2abcf66b70a9b3e6	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2478	200	OK	-	-	-	(empty)	-	-	-	-	-	FUK3ChLpiczv4vwBg	application/jar
1329035630.20748	CfzqG7uwgJyUr6OCa	192.168.77.10	1033	95.168.173.235	80	1	GET	abonny.info	/?835014598404781adba918a04d4e33aa	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2932	200	OK	-	-	-	(empty)	-	-	-	-	-	Fplzlm3jEhm1m5waTh	application/jar
1329035630.49805	Cz1tlp34CCjrQWrzug	192.168.77.10	1034	95.168.173.235	80	1	GET	abonny.info	/?835014598404781adba918a04d4e33aa	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2932	200	OK	-	-	-	(empty)	-	-	-	-	-	FnvvxT3HsYLyON9Vi9	application/jar
1329035630.511191	CwHjf2bnSpB7XOfJa	192.168.77.10	1039	95.168.173.235	80	1	GET	abonny.info	/?992dd26b648830ae2abcf66b70a9b3e6	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2478	200	OK	-	-	-	(empty)	-	-	-	-	-	FFDEP51C4DO1ABjFGc	application/jar
1329035630.823457	CTuArsbyDyY4M0HCi	192.168.77.10	1040	95.168.173.235	80	1	GET	abonny.info	/?992dd26b648830ae2abcf66b70a9b3e6	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2478	200	OK	-	-	-	(empty)	-	-	-	-	-	FOLTT53FRY95jIHDT8	application/jar
1329035631.026321	CwhXHs3zeUxnWn03Gc	192.168.77.10	1041	95.168.173.235	80	1	GET	abonny.info	/?835014598404781adba918a04d4e33aa	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2932	200	OK	-	-	-	(empty)	-	-	-	-	-	FXIvx44Zd57DXUxGIh	application/jar
1329035631.197254	CfOLIv4HTfHIHZZGM4	192.168.77.10	1042	95.168.173.235	80	1	GET	abonny.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FXd1YO3HXFsIYJXf63	text/html
1329035631.450173	CFB1Rm1sI6nTxLyOXb	192.168.77.10	1044	95.168.173.235	80	1	GET	abonny.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2D3Zw4PXWJCsj4qdh	text/html
1329035631.697039	CodhZm4of9Yfmtc9Id	192.168.77.10	1045	95.168.173.235	80	1	GET	abonny.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FibJz5tJmbsj3HpPk	text/html
1329035631.954312	COWT8A48y59jxu0q75	192.168.77.10	1046	95.168.173.235	80	1	GET	abonny.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKgojS3iRjGzkYZjK8	text/html
