#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-14-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1365676196.658322	CabnIn2lxihAMGU87l	192.168.98.10	1030	78.136.44.249	80	1	GET	znq03track.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	167	302	Found	-	-	-	(empty)	-	-	-	-	-	FtY4JXbJ4QRe2RfXi	text/html
1365676197.244863	Cl0biD1hLROeUQj8D1	192.168.98.10	1031	174.37.233.209	80	1	GET	aff.ringtonepartner.com	/geo/preset/3830/47/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1251	200	OK	-	-	-	(empty)	-	-	-	-	-	FancSm3woFHYK1Yno1	text/html
1365676197.692425	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	1	GET	www.mobilejmp.com	/glp?page=72&uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	F0ncAX2txlLVJrfT3b	text/html
1365676198.91516	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	2	GET	www.mobilejmp.com	/glp?page=72&uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FpjUwL3sOnXU4RumEf	text/html
1365676200.080538	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	3	GET	www.mobilejmp.com	/glp?page=72&uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FC1jBU2oK79FFSeFQi	text/html
1365676201.251059	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	4	GET	www.mobilejmp.com	/glp?page=72&uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FnaQfG16bcJapqjMkk	text/html
1365676202.439471	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	5	GET	www.mobilejmp.com	/glp?page=72&uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	F01ZIo23rqVW29Ldc3	text/html
1365676202.598137	CUpPQf4zIqyEzxF61d	192.168.98.10	1034	174.37.233.214	80	6	GET	www.mobilejmp.com	/geo/preset/3830/2?uc=14041100147_e9d13f_14fa_226_51669030_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1400	200	OK	-	-	-	(empty)	-	-	-	-	-	FKFutz4lBbvr0S1B1g	text/html
1365676203.099942	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	1	GET	pageerror-download.com	/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4276	200	OK	-	-	-	(empty)	-	-	-	-	-	FsldP04tmtYwUNEk2g	text/html
1365676203.222709	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	2	GET	pageerror-download.com	/styles/browser.css	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6002	200	OK	-	-	-	(empty)	-	-	-	-	-	FBaiUkXktMr4fK8Ji	text/plain
1365676203.361118	CJKTf24Ahm8IfYpxEg	192.168.98.10	1039	178.63.45.183	80	3	GET	pageerror-download.com	/js/error.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1404115132_ea9b19_2095_226_51669035_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2223	200	OK	-	-	-	(empty)	-	-	-	-	-	FKTBTJ1XBk3xMoy2B9	text/plain
