#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-46
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326572756.84696	C6PLXe1i6lyO88TQT	192.168.48.10	1031	125.4.73.201	80	1	GET	h8mji6.seekinglibyan.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1326572757.484566	CPuno02L86JP4th064	192.168.48.10	1036	199.30.89.52	80	1	GET	talkaboutetraders.com	/main.php?id=29273e796a7b2459	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80061	200	OK	-	-	-	(empty)	-	-	-	-	-	FfW0Vg1ZmY2Gr6hRa5	text/html
1326572771.110634	C77pUx36qc9p7E3tib	192.168.48.10	1040	95.163.89.226	8080	1	GET	95.163.89.226	/w.php?f=21&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	199168	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq6s8139Q1D6Qbvxb7	application/x-dosexec
1326572774.918986	CZsvkb4zU6CwgRb7ba	192.168.48.10	1041	199.30.89.52	80	1	GET	talkaboutetraders.com	/content/field.swf	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1448	200	OK	-	-	-	(empty)	-	-	-	-	-	FIQNjsgEt86lx63Y3	application/x-shockwave-flash
1326572773.768329	CPuno02L86JP4th064	192.168.48.10	1036	199.30.89.52	80	2	GET	talkaboutetraders.com	/content/fdp2.php?f=21	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81734	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft80nb4uWI9xysxCJ5	application/pdf
1326572791.53547	CSPJyl3jIuPXO6QW1l	192.168.48.10	1043	69.31.75.203	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FuvEPX1ApUoiwevh7a	text/html
1326572791.956162	CaLfWG29DKJU03v0Ka	192.168.48.10	1044	74.125.45.147	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FtLCAB2lb6p6SL2eHh	text/html
1326572791.96596	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18829	200	OK	-	-	-	(empty)	-	-	-	-	-	FvW8iX1ojyU6K0QHA3	text/html
1326572792.237862	C20PH91zwIQt8HeFUj	192.168.48.10	1046	199.30.89.52	80	1	GET	talkaboutetraders.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3858	200	OK	-	-	-	(empty)	-	-	-	-	-	FtRd6d14jiNIAziEh	application/zip
1326572793.914789	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FPHbOe2WhAt6iVDRXg	image/png
1326572793.939262	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	3	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FEgkhn3LqnMju2qJX4	image/png
1326572793.980959	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	4	GET	www.google.com	/images/mgyhp_sm.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	F32Cl8321RebhD54Gf	image/png
1326572794.150786	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	5	GET	www.google.com	/extern_js/f/CgJlbhICdXMrMEU4ACwrMFo4ACwrMA44ACwrMBc4ACwrMDw4ACwrMFE4ACwrMAo4AZoCAmhlLCswmAE4ASwrMBY4ACwrMBk4ACwrMCU4ACwrMDU4ACwrMEE4ACwrME04ACwrME44ACwrMFQ4ACwrMGM4ACwrMGk4ACwrMJABOAAsKzCSATgALCswrAE4ACwrMBg4ACwrMCY4ACyAAlCQAmA/8WhVgFJlDOQ.js	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143737	200	OK	-	-	-	(empty)	-	-	-	-	-	FVFMoy3thO3FuovtV3	text/plain
1326572794.199968	CSGQzuaaMRXRfJTC7	192.168.48.10	1045	74.125.157.147	80	6	GET	www.google.com	/compressiontest/gzip.html	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	941	200	OK	-	-	-	(empty)	-	-	-	-	-	F0BAq32SThuEk3k2T8	text/html
