#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326582630.237587	C5pgxD1HzH4d6WQZ0b	192.168.26.10	1030	72.47.236.163	80	1	GET	merca20.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FtKczC4mzdUrpjkW7e	application/octet-stream
1326582630.922772	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	1	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/960/reset.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1066	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl6ajvaW8fBYDZSf	text/plain
1326582630.679115	C15IApON514I5CNXd	192.168.26.10	1031	72.47.236.163	80	1	GET	www.merca20.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99750	200	OK	-	-	-	(empty)	-	-	-	-	-	F5f1AU3t9t4xjNxPu	text/html
1326582630.922512	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	1	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/960/grid.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5985	200	OK	-	-	-	(empty)	-	-	-	-	-	FOwrCh2KTILHA7O8x6	text/x-c
1326582630.952155	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	2	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/960/text.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1051	200	OK	-	-	-	(empty)	-	-	-	-	-	FZibwR212yZamNxPg6	text/plain
1326582630.957755	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	2	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/style9.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29818	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwv7PC45GJnXHa6lai	text/plain
1326582630.968699	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	3	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/style.css3.css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1323	200	OK	-	-	-	(empty)	-	-	-	-	-	FLswS82CdUHjqobWJk	text/plain
1326582631.003304	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	4	GET	cdn.merca20.com	/wp-content/themes/Merca2010_2/plugins.css.php?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2119	200	OK	-	-	-	(empty)	-	-	-	-	-	FKjRJM3p23koCx9kS4	text/html
1326582630.969918	C9RAFW1dwlspBVkV5j	192.168.26.10	1033	72.21.91.19	80	3	GET	cdn.merca20.com	/wp-content/themes/massive-news-nvo/scripts/fancybox/style.css?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5336	200	OK	-	-	-	(empty)	-	-	-	-	-	F5DrBv21B9QphrNUOg	text/plain
1326582631.038354	C9UJtX8Csqpc1V5Gl	192.168.26.10	1032	72.21.91.19	80	5	GET	cdn.merca20.com	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93889	200	OK	-	-	-	(empty)	-	-	-	-	-	F5V3SC3ycbohbezgl	text/html
1326582631.010351	CFGjB24OzXTD2j4PY8	192.168.26.10	1035	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/contact-form-7/styles.css?ver=3.0.2.1	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	951	200	OK	-	-	-	(empty)	-	-	-	-	-	FAQNAp3oB9W1bxV164	text/plain
1326582630.970518	CHFHwk1nj5lZRhzio6	192.168.26.10	1034	72.47.236.163	80	1	GET	www.merca20.com	/?sf-custom-content=css	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	947	200	OK	-	-	-	(empty)	-	-	-	-	-	F1DEVL1xGxnvCaXXK8	text/plain
1326582631.483039	CFDkOE4SrwOX8AkpH4	192.168.26.10	1036	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-cart-for-digital-products/lib/jquery.external.lib.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4372	200	OK	-	-	-	(empty)	-	-	-	-	-	F3aXLxOk0zKkZlSL8	text/plain
1326582631.664509	CVUadW2tksf3TuEfK1	192.168.26.10	1037	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-cart-for-digital-products/lib/jquery.lightbox-0.5.pack.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6254	200	OK	-	-	-	(empty)	-	-	-	-	-	FO5DId2AxqKoVn6J3	text/plain
1326582631.905802	Cfk1go2f6G3c8EQ4S7	192.168.26.10	1038	72.47.236.163	80	1	GET	www.merca20.com	/wp-content/plugins/wp-plus-one/wp-plus-one.js?ver=3.3	http://www.merca20.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1138	200	OK	-	-	-	(empty)	-	-	-	-	-	FcJHm34aduto1MuOC6	text/plain
