#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-36
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319961087.484196	CYhpL41s5Lt4kEXRAc	192.168.127.10	1031	109.236.82.74	80	1	GET	therst.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCEdf530I6V3L0C58	text/html
1319961087.70035	CYgPcB1KzyhzgfGQN9	192.168.127.10	1032	109.236.82.61	80	1	GET	cyberef.in	/?site=7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47084	200	OK	-	-	-	(empty)	-	-	-	-	-	FyEGSK2k9ACScNw8ek	text/html
1319961089.73939	Ci2AzO1uMuV2sjh52a	192.168.127.10	1040	109.236.82.61	80	1	GET	cyberef.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FXcxcN3hp3zQpBF9Vc	application/jar
1319961089.764511	Ctwlh615HR5pj7otb2	192.168.127.10	1043	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxi2ZG14tScSwL0P43	application/x-java-applet
1319961089.763343	C99uv24RJgYotr1rsh	192.168.127.10	1044	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FjJTBeKeBTkr6g0r6	application/x-java-applet
1319961089.765318	CCvGtp2GaqCRQtSKke	192.168.127.10	1039	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FOo81n2NAmN5Fpg179	application/x-java-applet
1319961089.766996	CfWxBu1nxcOKdYYpsl	192.168.127.10	1042	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FB934E3Sy7F5ZxQVie	application/x-java-applet
1319961089.774028	CVHNkr2gIkTduRP136	192.168.127.10	1038	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FhcOWzrrnU58BpBb7	application/x-java-applet
1319961089.774387	CREzzR1yakVIXorUx5	192.168.127.10	1037	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FI8SMH342gaLEy4WGc	application/x-java-applet
1319961089.770016	CPLr1f30KLy6uDDJJc	192.168.127.10	1041	109.236.82.61	80	1	GET	cyberef.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	F24maV3UBZL427mMX1	application/jar
1319961090.048683	CEU6vgTFo0Ux26pL3	192.168.127.10	1045	109.236.82.61	80	1	GET	cyberef.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FfAC3m2TIKuOzkbuJa	application/jar
