#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337860993.178597	CgJQTX1F00PFXLHUO7	192.168.107.10	1030	69.25.27.173	80	1	GET	parkviewchristianacademy-waco.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337860993.323661	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	1	GET	www.parkviewwaco.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11232	200	OK	-	-	-	(empty)	-	-	-	-	-	FZw6d11Y7Cnb2fD5F8	text/html
1337860993.459758	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	1	GET	www.parkviewwaco.com	/small-logo3.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20760	200	OK	-	-	-	(empty)	-	-	-	-	-	FioV4o1BjproiK9grk	image/jpeg
1337860993.492261	CbNm8p3ay0lhSCVQ0h	192.168.107.10	1032	66.223.51.238	80	1	GET	rec-creations.com	/adv.php	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1337860993.564425	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	2	GET	www.parkviewwaco.com	/buttonhome.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3890	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxk7wa2bfEWEUZB0S5	image/jpeg
1337860993.570668	CQqJKFFHqTsrtS20i	192.168.107.10	1034	173.194.79.136	80	1	GET	www.youtube.com	/v/Svo13LQFzg8&hl=en_US&fs=1&rel=0&color1=0x234900&color2=0x4e9e00	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3229	200	OK	-	-	-	(empty)	-	-	-	-	-	Fso5Mq2itYO6j5du6i	application/x-shockwave-flash
1337860993.415344	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	2	GET	www.parkviewwaco.com	/topphototeenagers.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	181992	200	OK	-	-	-	(empty)	-	-	-	-	-	FqroTuK2OsLPd4gF6	image/jpeg
1337860993.691394	CPCf403Lwtn4LjuhA5	192.168.107.10	1031	74.54.72.120	80	3	GET	www.parkviewwaco.com	/buttonarts.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4405	200	OK	-	-	-	(empty)	-	-	-	-	-	FqMZ5QDA6Zok1rtaf	image/jpeg
1337860993.691095	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	3	GET	www.parkviewwaco.com	/buttonacademic.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5135	200	OK	-	-	-	(empty)	-	-	-	-	-	FHZ2czawx4Wa4BFp	image/jpeg
1337860993.7908	CYK3Oi3M1OmUU7MHq7	192.168.107.10	1037	69.22.138.136	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1759	200	OK	-	-	-	(empty)	-	-	-	-	-	F13H4D1iE2sEHtPNV4	text/html
1337860993.791039	Cqkxk91wyA5CAWunUi	192.168.107.10	1033	74.54.72.120	80	4	GET	www.parkviewwaco.com	/buttongeneralinfo.jpg	http://www.parkviewwaco.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7230	200	OK	-	-	-	(empty)	-	-	-	-	-	FfMTHj3QSfQ3YzN6K9	image/jpeg
