#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389323737.083093	CnsR1P2fTvmly3Arlb	192.168.4.10	1035	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FUcxVXCuhmCVHDDoe	text/html
1389323737.390321	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/node/node.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	740	200	OK	-	-	-	(empty)	-	-	-	-	-	FrS9Pk1l2TacYzMZWg	text/plain
1389323737.401699	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/poll/poll.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbUuq3i1uV1EQC0G9	text/plain
1389323737.410557	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	3	GET	www.besthealthmag.ca	/modules/system/defaults.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	757	200	OK	-	-	-	(empty)	-	-	-	-	-	FexlMr9uTjWe4t6x3	text/plain
1389323737.419063	CXaCSK3NKIKWLiUge	192.168.4.10	1039	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/user/user.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1127	200	OK	-	-	-	(empty)	-	-	-	-	-	FuYSx5iK2vvz700v2	text/plain
1389323737.413959	CMnT9B2G91n6q547Ie	192.168.4.10	1038	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/system.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10020	200	OK	-	-	-	(empty)	-	-	-	-	-	FwNP8r4y5cKgwV0b1b	text/plain
1389323737.423303	CQs45FfQLSeNROod	192.168.4.10	1040	72.21.91.19	80	1	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3087	200	OK	-	-	-	(empty)	-	-	-	-	-	FRGJp4g0n5Z2xBdu3	text/plain
1389323737.425526	CJMyZl2KoFdlCsdJW3	192.168.4.10	1041	72.21.91.19	80	1	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/datepicker.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4077	200	OK	-	-	-	(empty)	-	-	-	-	-	FNcZrF4Y4RMMTjelD5	text/plain
1389323737.418604	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	4	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	920	200	OK	-	-	-	(empty)	-	-	-	-	-	FeOrRCX2nsoPP7GG	text/plain
1389323737.430825	CXaCSK3NKIKWLiUge	192.168.4.10	1039	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/system/system-menus.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	935	200	OK	-	-	-	(empty)	-	-	-	-	-	FzFAeM23EA7dNn20fi	text/plain
1389323737.439026	CMnT9B2G91n6q547Ie	192.168.4.10	1038	72.21.91.19	80	2	GET	www.besthealthmag.ca	/themes/besthealth_skin/css/print.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	650	200	OK	-	-	-	(empty)	-	-	-	-	-	FSc93S3k5kwZi99TFa	text/plain
1389323737.439881	CJMyZl2KoFdlCsdJW3	192.168.4.10	1041	72.21.91.19	80	2	GET	www.besthealthmag.ca	/sites/all/modules/filefield/filefield.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1306	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo7NYPQKp5qzJdmT8	text/x-asm
1389323737.439629	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	5	GET	www.besthealthmag.ca	/sites/all/modules/cck/theme/content-module.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3308	200	OK	-	-	-	(empty)	-	-	-	-	-	FXCPt84EdmM5p4UVP7	text/plain
1389323737.439376	CQs45FfQLSeNROod	192.168.4.10	1040	72.21.91.19	80	2	GET	www.besthealthmag.ca	/misc/jquery.js?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	31101	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffpyuj2cWZIpNxAdG	text/plain
1389323737.44778	CXaCSK3NKIKWLiUge	192.168.4.10	1039	72.21.91.19	80	3	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/timeentry.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbdp1S2oTbY6vTaZz1	text/plain
1389323737.465084	CMnT9B2G91n6q547Ie	192.168.4.10	1038	72.21.91.19	80	3	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.js?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	F5AGtF7WmLZHKOOde	text/plain
1389323737.468523	CQs45FfQLSeNROod	192.168.4.10	1040	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3852	200	OK	-	-	-	(empty)	-	-	-	-	-	FBms891XKxN0NWL1Bk	text/plain
1389323737.469713	CJMyZl2KoFdlCsdJW3	192.168.4.10	1041	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/logintoboggan/logintoboggan.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	FxKUUO2TiWMhwBK65h	text/plain
1389323737.470267	Czv4zY2Axpd5Ufkwm1	192.168.4.10	1037	72.21.91.19	80	6	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus.js?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1776	200	OK	-	-	-	(empty)	-	-	-	-	-	FsGXKv2AVIfiTFO14j	text/plain
1389323737.470782	CXaCSK3NKIKWLiUge	192.168.4.10	1039	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/poormanscron/poormanscron.js?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	616	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa91o03oc1KYm5Voog	text/plain
1389323737.47431	CMnT9B2G91n6q547Ie	192.168.4.10	1038	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/nice_menus/nice_menus_default.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3870	200	OK	-	-	-	(empty)	-	-	-	-	-	FOXDjsHWHYrVQ0yEk	text/plain
1389323737.478863	CQs45FfQLSeNROod	192.168.4.10	1040	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/forum/forum.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1057	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Z6lm26gQsLVRAK72	text/plain
1389323737.479232	CJMyZl2KoFdlCsdJW3	192.168.4.10	1041	72.21.91.19	80	4	GET	www.besthealthmag.ca	/sites/all/modules/cck/modules/fieldgroup/fieldgroup.css?G	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	98	200	OK	-	-	-	(empty)	-	-	-	-	-	F84yVI3pwU7TOC1Irh	text/plain
