#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-54-35
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1315280457.419703	CVBV0x3282kLlPq6W8	192.168.49.10	1030	95.168.165.225	80	1	GET	big-ass-gfs.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	249	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FcFfuT1G2IqeefihIc	text/html
1315280457.652239	C2zoU84EEyGg38SdV6	192.168.49.10	1031	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/?site=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7505	200	OK	-	-	-	(empty)	-	-	-	-	-	FFvS7hkYBQPZ5MmF8	text/html
1315280458.682681	CZGFCE4KTCKxvsuXA6	192.168.49.10	1033	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FIjjMVwuF5H7ToxKa	application/jar
1315280458.68116	CL5qE04W8c3w0xRKZ9	192.168.49.10	1032	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	F4NMWw1C1wx62bU7bh	application/x-java-applet
1315280458.684038	C8QbsnvxUMHCgRghe	192.168.49.10	1035	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff72oe33N4007vjvv	application/x-java-applet
1315280458.679575	CkudqD3PoP308WM8Ed	192.168.49.10	1034	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	F4fo7k1UBUgjN0Q7k4	application/jar
1315280458.984629	Cdoo2OH81UgkqoIcb	192.168.49.10	1036	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FCR7yZ2hxjYQg2U1zg	application/jar
1315280459.21431	ChMr4aVMPK1OMfgZf	192.168.49.10	1037	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	F6uD0G1pYeKOmABegd	application/x-java-applet
1315280459.238797	C6TFWSOznI3h46h6d	192.168.49.10	1038	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	F7TNpe48YcqikGYl9k	application/x-java-applet
1315280459.313759	CtP9jlwphgHOwCpKd	192.168.49.10	1039	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	ForhmeHDFatLjFWTf	application/jar
1315280459.600378	CyuvGg2WrWkJzkvag	192.168.49.10	1041	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FwYWxk1PwlQyPNEmq9	application/jar
