#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-39-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1313500165.265119	CLzfrd4lgzh93lxSuk	192.168.15.10	1030	174.122.2.163	80	1	GET	freshcoatnorthaustin.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	398	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fu2LPr4Z9zkwdq1ic2	text/html
1313500165.346818	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	1	GET	www.freshcoatpainters.com	/TX/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12719	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg8dlr2rloHnDuVQch	text/html
1313500165.543074	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	1	GET	www.freshcoatpainters.com	/style.css	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9506	200	OK	-	-	-	(empty)	-	-	-	-	-	Fue46DO0NKDr1V7Q7	text/plain
1313500165.904389	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	2	GET	www.freshcoatpainters.com	/images/btn-franchise.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11523	200	OK	-	-	-	(empty)	-	-	-	-	-	F7nqOD2Wgy1Ylezcv7	image/png
1313500165.543315	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	2	GET	www.freshcoatpainters.com	/images/logo.png	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39602	200	OK	-	-	-	(empty)	-	-	-	-	-	FPWDcke4j8GlLSUKf	image/png
1313500166.061617	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	3	GET	www.freshcoatpainters.com	/images/btn-quote.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7605	200	OK	-	-	-	(empty)	-	-	-	-	-	FPxmj11eP2LX48xAxb	image/jpeg
1313500165.976123	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	3	GET	www.freshcoatpainters.com	/images/franchisee_website_icons/91136.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3943	200	OK	-	-	-	(empty)	-	-	-	-	-	FwrsTv2izsTWZTotq5	image/jpeg
1313500166.128153	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	4	GET	www.freshcoatpainters.com	/images/franchisee_website_icons/internal-profile.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3219	200	OK	-	-	-	(empty)	-	-	-	-	-	FVIAYk3xQPRIuOUvZ1	image/jpeg
1313500166.128934	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	4	GET	www.freshcoatpainters.com	/images/franchisee_website_icons/91172.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5619	200	OK	-	-	-	(empty)	-	-	-	-	-	FGGy8HNGwmJwkOgfg	image/gif
1313500166.198939	C5XH1P3fnftkMe2sl2	192.168.15.10	1031	174.120.201.2	80	5	GET	www.freshcoatpainters.com	/images/franchisee_website_icons/91156.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3871	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy8on02T2yvJf9u4l7	image/jpeg
1313500166.240871	C68bnG5RUbav231j3	192.168.15.10	1032	174.120.201.2	80	5	GET	www.freshcoatpainters.com	/images/franchisee_website_icons/91146.jpg	http://www.freshcoatpainters.com/TX/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3902	200	OK	-	-	-	(empty)	-	-	-	-	-	FceneX3w7nlQIogqd3	image/jpeg
